Reference Designators;Quantity;Description;Package;Value;Manufacturer;Manufacturer Part Number;Vendor;Vendor Part Number;Top/Bottom;
;1;PCB Board;Board;;;;;;;
ANT1;1;Antennas 2.45GHz ANTENNA;2450AT18B100E_ANTC3216X140N;2450AT18B100E_2450AT18B100E;;;;;Top;
C1, C2, C17, C18;4;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;12pF;;;;;Top;
C1-EP-DR, C24, C39;3;CAPACITOR, European symbol;ESP32_WROVER_EAGLE-LTSPICE_C0402;10uF;;;;;Top;
C2-EP-DR;1;CAPACITOR, European symbol;ESP32_WROVER_EAGLE-LTSPICE_C0402;4.7uF/25V;;;;;Top;
C3, C4;2;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;1pF;;;;;Top;
C5, C7, C8, C12, C19;5;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100nF;;;;;Top;
C6, C14, C20, C21;4;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;4.7μF;;;;;Top;
C9;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;820pF;;;;;Top;
C10, C13, C22;3;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;N.C.;;;;;Top;
C11;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;100pF;;;;;Top;
C15;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;1.0μF;;;;;Top;
C16;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;47nF;;;;;Top;
C23;1;Check availability;CAPC0201X13N;0.1uF;;;;;Top;
C25, C33;2;CAPACITOR, European symbol;ESP32_WROVER_EAGLE-LTSPICE_C0402;22uF;;;;;Top;
C27, C34;2;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;0.1uF;;;;;Top;
C29, C30, C31, C43;4;CAPACITOR, European symbol;ESP32_WROVER_EAGLE-LTSPICE_C0402;;;;;;Top;
C32, C37, C38;3;CAPACITOR, European symbol;ESP32_WROVER_EAGLE-LTSPICE_C0402;1uF;;;;;Top;
C42;1;Generic chip capacitor;NORDIC_NRF_3_RESC0201_L;;;;;;Top;
D2, D4, D5;3;ON SEMICONDUCTOR - MBR0530 - DIODE, SCHOTTKY, 0.5A, 30V, SOD-123;SOD3716X135N;ESP32_C6_LIBRARY_5_MBR0530;;;;;Top;
D3;1;Low Cap. ESD Protection Auto SOT-23-6 STMicroelectronics USBLC6-2SC6Y, Dual Uni-Directional TVS Diode Array, 6-Pin SOT-23;SOT95P280X145-6N;ESP32_C6_LIBRARY_3_USBLC6-2SC6Y;;;;;Top;
EPD_C1, EPD_C2, EPD_C6, EPD_C7, EPD_C8, EPD_C9, EPD_C10, EPD_C11, EPD_C12;9;CAPACITOR, European symbol;ESP32_WROVER_EAGLE-LTSPICE_C0402;1uF/50V;;;;;Top;
EPD_C5;1;CAPACITOR, European symbol;ESP32_WROVER_EAGLE-LTSPICE_C0402;0.1uF/50V;;;;;Top;
IC1;1;Charger IC Lithium Ion/Polymer, Lithium Iron Phosphate 8-DSBGA (1.6x1.1);BQ25180YBGR_BGA8C40P2X4_100X155X50;BQ25180YBGR_BQ25180YBGR;;;;;Top;
IC2;1;Haptic Driver for ERM/LRA with Built-In Library and Smart Loop Architecture;DRV2605YZFR_BGA9C50P3X3_144X144X62;DRV2605YZFR_DRV2605YZFR;;;;;Top;
IC3;1;Accelerometers Triaxial low-g 12bit Acceleration Sensor;BMA423_BMA423;BMA423_BMA423;;;;;Top;
IC9;1;Buck-Boost Regulator Positive Output Step-Up/Step-Down I2C DC-DC Controller IC 15-WL-CSP (BSC) (1.4x2.3);RT6160AWSC_BGA15C40P3X5_140X230X60;RT6160AWSC_RT6160AWSC;;;;;Top;
J1;1;FFC & FPC Connectors 0.5mm FPC RA SMT Dual Contact 24Ckt;503480-2400_5034802400;503480-2400_503480-2400;;;;;Top;
J2;1;CABLE ADAPTER 6 POS;TC2030-IDC_TC2030IDC;TC2030-IDC_TC2030-IDC;;;;;Top;
J4;1;Check availability;KINGHELM_KH-TYPE-C-16P;KH-TYPE-C-16P_KH-TYPE-C-16P;;;;;Top;
L1, L7;2;Generic chip inductor;NORDIC_NRF_2_RESC0402_L;;;;;;Top;
L2;1;Generic chip inductor;NORDIC_NRF_2_RESC0402_L;10uH;;;;;Top;
L3;1;Generic chip inductor;NORDIC_NRF_2_RESC0402_L;15nH;;;;;Top;
L5;1;Generic chip inductor;NORDIC_NRF_2_RESC0402_L;68uH;;;;;Top;
Q1;1;P-channel MOSFETs;ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3;20V/4.2A/52mΩ/1.4W;;;;;Top;
Q3;1;MOSFET N-Ch 30V 1.5A TrenchFET SC70 Vishay Si1308EDL-T1-GE3 N-channel MOSFET Transistor, 1.5 A, 30 V, 3-Pin SC-70;SOT65P210X110-3N;ESP32_C6_LIBRARY_6_SI1308EDL-T1-GE3;;;;;Top;
R_PWR_EPD, R2_EP_DR, R5, R7, R8, R9;6;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;10K;;;;;Top;
R_TYPE_SEL;1;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;2.2;;;;;Top;
R1_EP_DR;1;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;0.47;;;;;Top;
R1_USB, R2_USB;2;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;5K1;;;;;Top;
R2, R4;2;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;0;;;;;Top;
R3;1;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;R0201;0;;;;;Top;
R17, R18;2;7.68k 0201 Thin Film Surface Mount Fixed Resistor +/-0.5% 0.031W CPF0201D7K68C1;CPF0201D7K68C1_0201;3K3;;;;;Top;
SJ1;1;SMD solder JUMPER;JUMPER_SJ;;;;;;Top;
SW_DN, SW_ENT, SW_UP;3;;SW_EVP-AKE31A_PAN;2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN;;;;;Top;
TP_3.3V, TP_3V3, TP_BAT_GND, TP_GND, TP_ON, TP_OP, TP_RESET, TP_SCL, TP_SDA, TP_SWDCLK, TP_SWDIO, TP_SWO, TP_VBAT, TP_VREG;14;Test pad;HECTOR_WATCH_1_TP20R;HECTOR_WATCH_1_TPTP20R;;;;;Top;
U1;1;nRF52840;NORDIC_NRF_4_AQFN50P700X700X85_HS-74N;NORDIC_NRF_4_NRF52840_QF;;;;;Top;
U3;1;Check availability;SON50P200X200X80-9N;ESP32_C6_LIBRARY_MAX17048G+T10;;;;;Top;
X1;1;;NORDIC_NRF_BT-XTAL_2016_N;32MHz;;;;;Top;
X2;1;;NORDIC_NRF_1_XTAL_3215_N;;;;;;Top;
